         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
   85   1.047983E+04   1.191591E+00   3.124E+14   6.176E+33   1.834E-01      6.330E-01   3.377E-01   6.636E-01   1.726E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.781E+08   2.184E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   86   1.052077E+04   1.200160E+00   3.076E+14   5.899E+33   1.807E-01      6.287E-01   3.296E-01   6.576E-01   1.717E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.730E+08   2.252E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   87   1.056139E+04   1.208659E+00   3.028E+14   5.625E+33   1.779E-01      6.245E-01   3.213E-01   6.516E-01   1.709E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.673E+08   2.319E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   88   1.060170E+04   1.217092E+00   2.980E+14   5.353E+33   1.751E-01      6.202E-01   3.129E-01   6.456E-01   1.700E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.611E+08   2.385E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   89   1.064171E+04   1.225463E+00   2.933E+14   5.083E+33   1.724E-01      6.159E-01   3.043E-01   6.397E-01   1.692E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.544E+08   2.450E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   90   1.068142E+04   1.233770E+00   2.886E+14   4.815E+33   1.697E-01      6.116E-01   2.955E-01   6.337E-01   1.683E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.471E+08   2.512E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   91   1.072083E+04   1.242017E+00   2.840E+14   4.550E+33   1.670E-01      6.072E-01   2.864E-01   6.278E-01   1.675E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.393E+08   2.572E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   92   1.075996E+04   1.250203E+00   2.794E+14   4.286E+33   1.644E-01      6.029E-01   2.771E-01   6.218E-01   1.666E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.309E+08   2.630E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   93   1.079881E+04   1.258330E+00   2.748E+14   4.023E+33   1.617E-01      5.986E-01   2.676E-01   6.159E-01   1.658E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.221E+08   2.687E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   94   1.083737E+04   1.266399E+00   2.702E+14   3.763E+33   1.591E-01      5.942E-01   2.576E-01   6.099E-01   1.649E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.127E+08   2.741E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
